part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBA14636QQ,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,36,Q,7/16 in,Copper,-,-
EGBA14636RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,36,R,7/16 in,Copper,-,-
EGBA14836CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,36,C,7/16 in,Copper,-,-
EGBA14836NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,36,N,No Hole Pattern,Copper,-,-
EGBA14836RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,36,R,7/16 in,Copper,-,-
EGBA38236GG,"(A) Busbar, Insulators and Brackets",38 - 3/8,2,36,G,7/16 in,Copper,-,-
EGBA38436EE,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,36,E,7/16 in,Copper,-,-
EGBA38636JJ,"(A) Busbar, Insulators and Brackets",38 - 3/8,6,36,J,7/16 in,Copper,-,-
EGBC14236NN,(C) Busbar Only,14 - 1/4,2,36,N,No Hole Pattern,Copper,-,-
EGBD14336CC2QK,(D) Busbar and Insulators,14 - 1/4,3,36,C,7/16 in,,"4/0 Concentric Copper Cable, 7 Strand",10 ft
EGBF12436CB,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,36,C,9/16 in,Copper,-,-
EGBF12436LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,36,L,7/16 in,Copper,-,-
EGBF14436CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,36,C,7/16 in,Copper,-,-
EGBA14434CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,34,C,7/16 in,Copper,-,-
EGBA14434DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,34,D,7/16 in,Copper,-,-
EGBA14433DBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,33,D,9/16 in,Tinned Copper,-,-
EGBB14433DBT,(B) Busbar and Brackets,14 - 1/4,4,33,D,9/16 in,Tinned Copper,-,-
EGBA14432BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,32,B,7/16 in,Copper,-,-
EGBA14432CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,32,C,7/16 in,Copper,-,-
EGBA14432GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,32,G,7/16 in,Copper,-,-
EGBA14230BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,30,B,7/16 in,Copper,-,-
EGBA14230EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,30,E,7/16 in,Copper,-,-
EGBA14230EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,30,E,7/16 in,Tinned Copper,-,-
EGBA14230HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,30,H,7/16 in,Copper,-,-
EGBA14330CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,30,C,7/16 in,Copper,-,-
EGBA14430BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,30,B,7/16 in,Copper,-,-
EGBA14430CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,30,C,7/16 in,Copper,-,-
EGBA14430CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,30,C,7/16 in,Tinned Copper,-,-
EGBA14430LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,30,L,7/16 in,Copper,-,-
EGBA14430NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,30,N,No Hole Pattern,Copper,-,-
EGBA14630NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,30,N,No Hole Pattern,Copper,-,-
EGBA14630RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,30,R,7/16 in,Copper,-,-
EGBA14830CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,30,C,7/16 in,Copper,-,-
EGBA38430CC,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,30,C,7/16 in,Copper,-,-
EGBA38430NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,30,N,No Hole Pattern,Copper,-,-
EGBA38630LL,"(A) Busbar, Insulators and Brackets",38 - 3/8,6,30,L,7/16 in,Copper,-,-
EGBB14230EET,(B) Busbar and Brackets,14 - 1/4,2,30,E,7/16 in,Tinned Copper,-,-
EGBB14330CB,(B) Busbar and Brackets,14 - 1/4,3,30,C,9/16 in,Copper,-,-
EGBC12230NN,(C) Busbar Only,12 - 1/2,2,30,N,No Hole Pattern,Copper,-,-
EGBA14428BDT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,28,B,3/8 in,Tinned Copper,-,-
EGBA14428CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,28,C,7/16 in,Copper,-,-
EGBA14428NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,28,N,No Hole Pattern,Copper,-,-
